milk,bread,butter,
beer,bread,,
milk,beer,bread,butter
beer,bread,cheese,
milk,bread,eggs,
bread,butter,chips,
milk,butter,cheese,
milk,bread,butter,soda
beer,bread,cheese,eggs
beer,bread,butter,chips
milk,bread,soda,
milk,bread,butter,chips
beer,bread,butter,cheese
milk,butter,soda,
bread,butter,chips,
beer,bread,butter,eggs
milk,beer,butter,soda
milk,bread,eggs,
milk,bread,butter,cheese
beer,bread,cheese,
milk,butter,eggs,
milk,bread,butter,soda
beer,bread,butter,eggs
bread,butter,chips,
beer,bread,cheese,
milk,bread,eggs,
milk,butter,chips,
beer,bread,soda,
milk,bread,butter,eggs
milk,bread,chips,
milk,bread,cheese,
beer,chips,,
milk,bread,beer,eggs
soda,bread,cheese,
milk,butter,eggs,
bread,soda,chips,
milk,bread,cheese,
milk,bread,butter,soda
beer,bread,eggs,chips
milk,cheese,butter,
milk,butter,eggs,
milk,bread,cheese,
beer,bread,butter,
milk,butter,cheese,
bread,eggs,chips,
beer,bread,butter,
milk,beer,soda,
milk,cheese,,
milk,bread,butter,
beer,bread,eggs,
milk,butter,cheese,
milk,bread,cheese,
beer,bread,soda,
bread,eggs,chips,
beer,bread,cheese,
milk,bread,eggs,
milk,butter,chips,
beer,bread,soda,
milk,bread,eggs,
milk,bread,chips,
milk,bread,soda,
beer,butter,,
milk,bread,cheese,eggs
soda,bread,beer,
milk,chips,eggs,
bread,soda,cheese,
milk,bread,butter,
milk,cheese,bread,soda
beer,bread,chips,eggs
soda,cheese,butter,
milk,butter,eggs,
milk,bread,cheese,
beer,bread,soda,
milk,cheese,beer,
bread,eggs,chips,
beer,bread,cheese,
milk,beer,soda,
milk,cheese,eggs,
milk,bread,butter,
beer,bread,chips,
milk,butter,cheese,
milk,bread,beer,
beer,cheese,soda,
bread,eggs,chips,
beer,bread,cheese,
milk,bread,eggs,
milk,butter,chips,
beer,bread,soda,
milk,bread,eggs,
soda,bread,chips,
beer,bread,cheese,eggs
soda,milk,bread,
beer,chips,soda,
milk,cheese,eggs,
bread,cheese,chips,
beer,cheese,eggs,
milk,beer,soda,
milk,butter,chips,
beer,bread,eggs,chips
soda,cheese,chips,